DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66594,-47.8779,4.2
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.6656,-47.88015,9.3
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66536,-47.87495,4.2
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66505,-47.87723,9.3
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66185,-47.88325,12.8
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66099,-47.87889,10.8
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66065,-47.88113,9.3
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66041,-47.876,10.8
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66009,-47.87821,9.3
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.07,-15.65953,-47.87532,20.6
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.07,-15.65543,-47.87688,10.8
2024/03/08 17:43:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.05,-15.66788,-47.88006,23.6
2024/03/08 17:43:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66611,-47.87236,22.4
2024/03/08 17:43:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.07,-15.65893,-47.8742,22.4
2024/03/09 04:04:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,-999.0,-15.56971,-47.85691,1.2
2024/03/09 04:27:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,-999.0,-15.56924,-47.85428,0.9
2024/03/09 17:00:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,2.59,0.06,-15.7844,-48.16108,5.5
2024/03/10 04:34:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,13.4,-999.0,-15.56855,-47.85639,1.0
2024/03/12 04:49:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,0.79,0.06,-15.57011,-47.85577,0.8
2024/03/12 17:45:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.09,0.02,-15.63589,-47.89585,68.0
2024/03/13 04:27:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,4.68,-999.0,-15.56898,-47.85382,2.0
2024/03/16 16:03:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.13,-15.79243,-47.69387,4.1
